index,year,month,timeframe,month_code,week,continued_claims,cont_pct_change_same_wk_last_year,init_claims,init_pct_change_same_wk_last_year
0,2018,January,2018 January,1,1,3133,-26.10%,739,-7.00%
1,2018,January,2018 January,1,2,3238,-26.90%,781,-0.50%
2,2018,January,2018 January,1,3,3290,-27.60%,539,-15.30%
3,2018,January,2018 January,1,4,3323,-28.00%,540,-12.30%
4,2018,February,2018 February,2,5,3360,-27.30%,470,-14.10%
5,2018,February,2018 February,2,6,3469,-25.60%,500,-5.70%
6,2018,February,2018 February,2,7,3545,-23.40%,396,-10.00%
7,2018,February,2018 February,2,8,3523,-22.00%,362,-13.20%
8,2018,March,2018 March,3,9,3388,-23.50%,399,-8.30%
9,2018,March,2018 March,3,10,3233,-25.00%,397,-14.30%
10,2018,March,2018 March,3,11,3160,-25.70%,400,3.60%
11,2018,March,2018 March,3,12,3057,-26.20%,374,-9.70%
12,2018,March,2018 March,3,13,3070,-24.50%,351,-16.20%
13,2018,April,2018 April,4,14,3054,-21.90%,483,-19.50%
14,2018,April,2018 April,4,15,2941,-21.90%,433,-1.10%
15,2018,April,2018 April,4,16,2874,-22.10%,364,-18.90%
16,2018,April,2018 April,4,17,2851,-22.40%,325,-37.50%
17,2018,May,2018 May,5,18,2692,-27.10%,343,-33.30%
18,2018,May,2018 May,5,19,2647,-26.30%,375,-25.60%
19,2018,May,2018 May,5,20,2598,-26.40%,366,-26.70%
20,2018,May,2018 May,5,21,2556,-23.70%,383,-14.30%
21,2018,June,2018 June,6,22,2578,-9.40%,305,-20.40%
22,2018,June,2018 June,6,23,2522,-11.10%,436,4.60%
23,2018,June,2018 June,6,24,2599,-6.00%,539,30.20%
24,2018,June,2018 June,6,25,2695,-0.50%,403,3.90%
25,2018,June,2018 June,6,26,2573,-4.20%,340,-14.40%
26,2018,July,2018 July,7,27,2622,-5.40%,387,-18.70%
27,2018,July,2018 July,7,28,2621,-6.50%,394,-18.30%
28,2018,July,2018 July,7,29,2553,-9.80%,336,-25.00%
29,2018,July,2018 July,7,30,2540,-7.70%,336,-21.70%
30,2018,August,2018 August,8,31,2502,-8.70%,351,-20.40%
31,2018,August,2018 August,8,32,2515,-9.10%,352,-17.00%
32,2018,August,2018 August,8,33,2378,-13.50%,368,-10.90%
33,2018,August,2018 August,8,34,2414,-12.90%,276,-33.70%
34,2018,September,2018 September,9,35,2410,-9.00%,359,-11.60%
35,2018,September,2018 September,9,36,2385,-10.20%,313,-12.60%
36,2018,September,2018 September,9,37,2347,-8.00%,331,-6.50%
37,2018,September,2018 September,9,38,2326,-9.60%,342,-5.30%
38,2018,September,2018 September,9,39,2322,-9.20%,254,-26.40%
39,2018,October,2018 October,10,40,2298,-8.10%,321,-26.40%
40,2018,October,2018 October,10,41,2257,-11.80%,394,-0.50%
41,2018,October,2018 October,10,42,2242,-12.20%,351,-2.50%
42,2018,October,2018 October,10,43,2264,-10.10%,308,-22.40%
43,2018,November,2018 November,11,44,2269,-9.90%,303,-26.30%
44,2018,November,2018 November,11,45,2286,-10.10%,398,-14.40%
45,2018,November,2018 November,11,46,2091,-11.20%,440,-7.20%
46,2018,November,2018 November,11,47,2277,-9.10%,291,-8.80%
47,2018,December,2018 December,12,48,2239,-12.00%,471,3.70%
48,2018,December,2018 December,12,49,2287,-12.50%,443,-7.70%
49,2018,December,2018 December,12,50,2442,-11.50%,450,-21.60%
50,2018,December,2018 December,12,51,2389,-12.20%,432,-21.70%
51,2018,December,2018 December,12,52,2539,-14.70%,405,-29.20%
52,2019,January,2019 January,1,1,2653,-15.30%,530,-28.30%
53,2019,January,2019 January,1,2,2703,-16.50%,751,-3.80%
54,2019,January,2019 January,1,3,2902,-11.80%,632,17.30%
55,2019,January,2019 January,1,4,3006,-9.50%,474,-12.20%
56,2019,February,2019 February,2,5,3043,-9.40%,522,11.10%
57,2019,February,2019 February,2,6,3074,-11.40%,453,-9.40%
58,2019,February,2019 February,2,7,3076,-13.20%,419,5.80%
59,2019,February,2019 February,2,8,2962,-15.90%,383,5.80%
60,2019,March,2019 March,3,9,2926,-13.60%,310,-22.30%
61,2019,March,2019 March,3,10,2904,-10.20%,350,-11.80%
62,2019,March,2019 March,3,11,2777,-12.10%,304,-24.00%
63,2019,March,2019 March,3,12,2705,-11.50%,300,-19.80%
64,2019,March,2019 March,3,13,2646,-13.80%,260,-25.90%
65,2019,April,2019 April,4,14,2438,-20.20%,353,-26.90%
66,2019,April,2019 April,4,15,2397,-18.50%,355,-18.00%
67,2019,April,2019 April,4,16,2328,-19.00%,322,-11.50%
68,2019,April,2019 April,4,17,2287,-19.80%,336,3.40%
69,2019,May,2019 May,5,18,2275,-15.50%,343,0.00%
70,2019,May,2019 May,5,19,2244,-15.20%,305,-18.70%
71,2019,May,2019 May,5,20,2276,-12.40%,325,-11.20%
72,2019,May,2019 May,5,21,2241,-12.30%,295,-23.00%
73,2019,June,2019 June,6,22,2187,-15.20%,324,6.20%
74,2019,June,2019 June,6,23,2211,-12.30%,365,-16.30%
75,2019,June,2019 June,6,24,2238,-13.90%,338,-37.30%
76,2019,June,2019 June,6,25,2162,-19.80%,347,-13.90%
77,2019,June,2019 June,6,26,2065,-19.70%,329,-3.20%
78,2019,July,2019 July,7,27,2248,-14.30%,285,-26.40%
79,2019,July,2019 July,7,28,2252,-14.10%,421,6.90%
80,2019,July,2019 July,7,29,2253,-11.80%,327,-2.70%
81,2019,July,2019 July,7,30,2254,-11.30%,304,-9.50%
82,2019,August,2019 August,8,31,2282,-8.80%,337,-4.00%
83,2019,August,2019 August,8,32,2235,-11.10%,349,-0.90%
84,2019,August,2019 August,8,33,2239,-5.80%,300,-18.50%
85,2019,August,2019 August,8,34,2245,-7.00%,289,4.70%
86,2019,August,2019 August,8,35,2142,-11.10%,290,-19.20%
87,2019,September,2019 September,9,36,2152,-9.80%,291,-7.00%
88,2019,September,2019 September,9,37,2162,-7.90%,325,-1.80%
89,2019,September,2019 September,9,38,2159,-7.20%,346,1.20%
90,2019,September,2019 September,9,39,2138,-7.90%,281,10.60%
91,2019,October,2019 October,10,40,2148,-6.50%,341,6.20%
92,2019,October,2019 October,10,41,2095,-7.20%,394,0.00%
93,2019,October,2019 October,10,42,2161,-3.60%,378,7.70%
94,2019,October,2019 October,10,43,2125,-6.10%,318,3.20%
95,2019,November,2019 November,11,44,2109,-7.10%,319,5.30%
96,2019,November,2019 November,11,45,2114,-7.50%,384,-3.50%
97,2019,November,2019 November,11,46,2148,2.70%,367,-16.60%
98,2019,November,2019 November,11,47,2073,-9.00%,399,37.10%
99,2019,November,2019 November,11,48,2148,-4.10%,244,-48.20%
100,2019,December,2019 December,12,49,2182,-4.60%,417,-5.90%
101,2019,December,2019 December,12,50,2399,-1.80%,567,26.00%
102,2019,December,2019 December,12,51,2501,4.70%,481,11.30%
103,2019,December,2019 December,12,52,2733,7.60%,371,-8.40%
104,2020,January,2020 January,1,1,2839,7.00%,453,-14.50%
105,2020,January,2020 January,1,2,2880,6.50%,591,-21.30%
106,2020,January,2020 January,1,3,2925,0.80%,468,-25.90%
107,2020,January,2020 January,1,4,2937,-2.30%,420,-11.40%
108,2020,February,2020 February,2,5,3064,0.70%,416,-20.30%
109,2020,February,2020 February,2,6,3077,0.10%,410,-9.50%
110,2020,February,2020 February,2,7,3129,1.70%,382,-8.80%
111,2020,February,2020 February,2,8,3012,1.70%,348,-9.10%
112,2020,February,2020 February,2,9,2976,1.70%,324,4.50%
113,2020,March,2020 March,3,10,2935,1.10%,298,-14.90%
114,2020,March,2020 March,3,11,3028,9.00%,425,39.80%
115,2020,March,2020 March,3,12,4736,75.10%,10173,3291.00%
116,2020,March,2020 March,3,13,10682,303.70%,13546,5110.00%
117,2020,April,2020 April,4,14,18189,646.10%,13603,3753.50%
118,2020,April,2020 April,4,15,24549,924.20%,15285,4205.60%
119,2020,April,2020 April,4,16,30447,1207.90%,10510,3164.00%
120,2020,April,2020 April,4,17,32977,1341.90%,8493,2427.70%
121,2020,May,2020 May,5,18,34755,1427.70%,7596,2114.60%
122,2020,May,2020 May,5,19,35607,1486.80%,5377,1663.00%
123,2020,May,2020 May,5,20,36019,1482.60%,5844,1698.20%
124,2020,May,2020 May,5,21,35714,1493.70%,5240,1676.30%
125,2020,May,2020 May,5,22,35355,1516.60%,4572,1311.10%
126,2020,June,2020 June,6,23,35474,1504.40%,4650,1174.00%
127,2020,June,2020 June,6,24,35425,1482.90%,5308,1470.40%
128,2020,June,2020 June,6,25,34908,1514.60%,6507,1775.20%
129,2020,June,2020 June,6,26,34957,1592.80%,11115,3278.40%
130,2020,July,2020 July,7,27,35028,1458.20%,4633,1525.60%
131,2020,July,2020 July,7,28,36651,1527.50%,0,
132,2020,July,2020 July,7,29,35561,1478.40%,5322,1527.50%
133,2020,July,2020 July,7,30,35156,1459.70%,6338,1984.90%
134,2020,August,2020 August,8,31,32086,1306.00%,2925,768.00%
135,2020,August,2020 August,8,32,30353,1258.10%,2193,528.40%
136,2020,August,2020 August,8,33,29627,1223.20%,2741,813.70%
137,2020,August,2020 August,8,34,28737,1180.00%,2276,687.50%
138,2020,August,2020 August,8,35,28003,1207.30%,2177,650.70%
139,2020,September,2020 September,9,36,27608,1182.90%,2515,764.30%
140,2020,September,2020 September,9,37,26944,1146.30%,2899,792.00%
141,2020,September,2020 September,9,38,25311,1072.30%,3080,790.20%
142,2020,September,2020 September,9,39,22612,957.60%,2494,787.50%
143,2020,October,2020 October,10,40,20010,831.60%,2277,567.70%
144,2020,October,2020 October,10,41,18131,765.40%,17133,4248.50%
145,2020,October,2020 October,10,42,16533,665.10%,4190,1008.50%
146,2020,October,2020 October,10,43,15243,617.30%,3015,848.10%
147,2020,October,2020 October,10,44,14261,576.20%,2655,732.30%
148,2020,November,2020 November,11,45,13502,538.70%,2665,594.00%
149,2020,November,2020 November,11,46,12285,471.90%,2932,698.90%
150,2020,November,2020 November,11,47,10797,420.80%,3771,845.10%
151,2020,November,2020 November,11,48,10662,396.40%,3951,1519.30%
152,2020,December,2020 December,12,49,10521,382.20%,7213,1629.70%
153,2020,December,2020 December,12,50,10206,325.40%,4819,749.90%
154,2020,December,2020 December,12,51,9915,296.40%,3068,537.80%
155,2020,December,2020 December,12,52,10031,267.00%,2501,574.10%
156,2021,January,2021 January,1,1,13084,360.90%,2313,410.60%
157,2021,January,2021 January,1,2,13267,360.70%,15914,2592.70%
158,2021,January,2021 January,1,3,13084,347.30%,4063,768.20%
159,2021,January,2021 January,1,4,9896,236.90%,3653,769.80%
160,2021,January,2021 January,1,5,9159,198.90%,4371,950.70%
161,2021,February,2021 February,2,6,9168,198.00%,4451,985.60%
162,2021,February,2021 February,2,7,8852,182.90%,3560,831.90%
163,2021,February,2021 February,2,8,8793,191.90%,3193,817.50%
164,2021,February,2021 February,2,9,8553,187.40%,3893,1101.50%
165,2021,March,2021 March,3,10,8212,179.80%,4408,1379.20%
166,2021,March,2021 March,3,11,5295,74.90%,5579,1212.70%
167,2021,March,2021 March,3,12,7734,63.30%,5055,-50.30%
168,2021,March,2021 March,3,13,7427,-30.50%,4484,-66.90%
169,2021,April,2021 April,4,14,7359,-59.50%,3613,-73.40%
170,2021,April,2021 April,4,15,7448,-69.70%,21924,43.40%
171,2021,April,2021 April,4,16,7618,-75.00%,15718,49.60%
172,2021,April,2021 April,4,17,7663,-76.80%,4934,-41.90%
173,2021,May,2021 May,5,18,7766,-77.70%,2899,-61.80%
174,2021,May,2021 May,5,19,4990,-86.00%,2519,-53.20%
175,2021,May,2021 May,5,20,7501,-79.20%,1932,-66.90%
176,2021,May,2021 May,5,21,7178,-79.90%,1726,-67.10%
177,2021,May,2021 May,5,22,7208,-79.60%,1476,-67.70%
178,2021,June,2021 June,6,23,6871,-80.60%,1270,-72.70%
179,2021,June,2021 June,6,24,6472,-81.70%,1311,-75.30%
180,2021,June,2021 June,6,25,6028,-82.70%,1410,-78.30%
181,2021,June,2021 June,6,26,8453,-75.80%,1451,-86.90%
